year;title;studios;producers;winner
1998;An Alan Smithee Film: Burn Hollywood Burn;Hollywood Pictures;Joe Eszterhas;yes
1998;Armageddon;Touchstone Pictures;Michael Bay;
1998;Armageddon;Touchstone Pictures;Jerry Bruckheimer;
1998;The Avengers;Warner Bros.;Jerry Weintraub;
1998;Godzilla;TriStar Pictures;Roland Emmerich;
1998;Godzilla;TriStar Pictures;Dean Devlin;
1998;Spice World;Columbia Pictures;Uri Fruchtan;
1998;Spice World;Columbia Pictures;Mark L. Rosen;
1998;Spice World;Columbia Pictures;Barnaby Thompson;
1999;Wild Wild West;Warner Bros.;Jon Peters;yes
1999;Wild Wild West;Warner Bros.;Barry Sonnenfeld;yes
1999;Big Daddy;Columbia Pictures;Sidney Ganis;
1999;Big Daddy;Columbia Pictures;Jack Giarraputo;
1999;The Blair Witch Project;Artisan Entertainment;Robin Cowie;
1999;The Blair Witch Project;Artisan Entertainment;Gregg Hale;
1999;The Haunting;DreamWorks;Susan Arthur;
1999;The Haunting;DreamWorks;Donna Roth;
1999;The Haunting;DreamWorks;Colin Wilson;
1999;Star Wars: Episode I – The Phantom Menace;20th Century Fox;Rick McCallum;
1999;Star Wars: Episode I – The Phantom Menace;20th Century Fox;George Lucas;
2000;Battlefield Earth;Warner Bros., Franchise Pictures;Jonathan D. Krane;yes
2000;Battlefield Earth;Warner Bros., Franchise Pictures;Elie Samaha;yes
2000;Battlefield Earth;Warner Bros., Franchise Pictures;John Travolta;yes
2000;Book of Shadows: Blair Witch 2;Artisan Entertainment;Bill Carraro;
2000;The Flintstones in Viva Rock Vegas;Universal Studios;Bruce Cohen;
2000;Little Nicky;New Line Cinema;Jack Giarraputo;
2000;Little Nicky;New Line Cinema;Robert Simonds;
2000;The Next Best Thing;Paramount Pictures;Leslie Dixon;
2000;The Next Best Thing;Paramount Pictures;Linne Radmin;
2000;The Next Best Thing;Paramount Pictures;Tom Rosenberg;
2001;Freddy Got Fingered;20th Century Fox;Larry Brezner;yes
2001;Freddy Got Fingered;20th Century Fox;Howard Lapides;yes
2001;Freddy Got Fingered;20th Century Fox;Lauren Lloyd;yes
2001;Driven;Warner Bros., Franchise Pictures;Renny Harlin;
2001;Driven;Warner Bros., Franchise Pictures;Elie Samaha;
2001;Driven;Warner Bros., Franchise Pictures;Sylvester Stallone;
2001;Glitter;20th Century Fox, Columbia Pictures;Laurence Mark;
2001;Glitter;20th Century Fox, Columbia Pictures;E. Bennett Walsh;
2001;Pearl Harbor;Touchstone Pictures;Michael Bay;
2001;Pearl Harbor;Touchstone Pictures;Jerry Bruckheimer;
2001;3000 Miles to Graceland;Warner Bros., Franchise Pictures;Demian Lichtenstein;
2001;3000 Miles to Graceland;Warner Bros., Franchise Pictures;Eric Manes;
2001;3000 Miles to Graceland;Warner Bros., Franchise Pictures;Elie Samaha;
2001;3000 Miles to Graceland;Warner Bros., Franchise Pictures;Richard Spero;
2001;3000 Miles to Graceland;Warner Bros., Franchise Pictures;Andrew Stevens;
2002;Swept Away;Screen Gems;Matthew Vaughn;yes
2002;The Adventures of Pluto Nash;Warner Bros.;Martin Bregman;
2002;The Adventures of Pluto Nash;Warner Bros.;Michael Scott Bregman;
2002;The Adventures of Pluto Nash;Warner Bros.;Louis A. Stroller;
2002;Crossroads;Paramount Pictures;Ann Carli;
2002;Pinocchio;Miramax Films;Gianluigi Braschi;
2002;Pinocchio;Miramax Films;Nicoletta Braschi;
2002;Pinocchio;Miramax Films;Elda Ferri;
2002;Star Wars: Episode II – Attack of the Clones;20th Century Fox;Rick McCallum;
2002;Star Wars: Episode II – Attack of the Clones;20th Century Fox;George Lucas;
2003;Gigli;Columbia Pictures, Revolution Studios;Martin Brest;yes
2003;Gigli;Columbia Pictures, Revolution Studios;Casey Silver;yes
2003;The Cat in the Hat;Universal Studios, DreamWorks;Brian Grazer;
2003;Charlie's Angels: Full Throttle;Columbia Pictures;Drew Barrymore;
2003;Charlie's Angels: Full Throttle;Columbia Pictures;Leonard Goldberg;
2003;Charlie's Angels: Full Throttle;Columbia Pictures;Nancy Juvonen;
2003;From Justin to Kelly;20th Century Fox;John Steven Agoglia;
2003;The Real Cancun;New Line Cinema;Mary-Ellis Bunim;
2003;The Real Cancun;New Line Cinema;Jonathan Murray;
2003;The Real Cancun;New Line Cinema;Jamie Schutz;
2003;The Real Cancun;New Line Cinema;Rick de Oliveira;
2004;Catwoman;Warner Bros.;Denise Di Novi;yes
2004;Catwoman;Warner Bros.;Edward McDonnell;yes
2004;Alexander;Warner Bros.;Moritz Borman;
2004;Alexander;Warner Bros.;Jon Kilik;
2004;Alexander;Warner Bros.;Thomas Schuhly;
2004;Alexander;Warner Bros.;Iain Smith;
2004;Superbabies: Baby Geniuses 2;Triumph Films;Steven Paul;
2004;Surviving Christmas;DreamWorks;Betty Thomas;
2004;Surviving Christmas;DreamWorks;Jenno Topping;
2004;White Chicks;Columbia Pictures, Revolution Studios;Rick Alvarez;
2004;White Chicks;Columbia Pictures, Revolution Studios;Lee R. Mayes;
2004;White Chicks;Columbia Pictures, Revolution Studios;Keenen Ivory Wayans;
2004;White Chicks;Columbia Pictures, Revolution Studios;Marlon Wayans;
2004;White Chicks;Columbia Pictures, Revolution Studios;Shawn Wayans;
2005;Dirty Love;First Look Pictures;John Mallory Asher;yes
2005;Dirty Love;First Look Pictures;BJ Davis;yes
2005;Dirty Love;First Look Pictures;Rod Hamilton;yes
2005;Dirty Love;First Look Pictures;Kimberley Kates;yes
2005;Dirty Love;First Look Pictures;Michael Manasseri;yes
2005;Dirty Love;First Look Pictures;Jenny McCarthy;yes
2005;Dirty Love;First Look Pictures;Trent Walford;yes
2005;Deuce Bigalow: European Gigolo;Columbia Pictures;Adam Sandler;
2005;Deuce Bigalow: European Gigolo;Columbia Pictures;Rob Schneider;
2005;The Dukes of Hazzard;Warner Bros., Village Roadshow;Bill Gerber;
2005;House of Wax;Warner Bros., Village Roadshow;Susan Levin;
2005;House of Wax;Warner Bros., Village Roadshow;Joel Silver;
2005;House of Wax;Warner Bros., Village Roadshow;Robert Zemeckis;
2005;Son of the Mask;New Line Cinema;Erica Huggins;
2005;Son of the Mask;New Line Cinema;Scott Kroopf;
2006;Basic Instinct 2;MGM, C2 Pictures;Mario Kassar;yes
2006;Basic Instinct 2;MGM, C2 Pictures;Joel B. Michaels;yes
2006;Basic Instinct 2;MGM, C2 Pictures;Andrew G. Vajna;yes
2006;BloodRayne;Romar Entertainment;Uwe Boll;
2006;BloodRayne;Romar Entertainment;Dan Clarke;
2006;BloodRayne;Romar Entertainment;Wolfgang Herrold;
2006;Lady in the Water;Warner Bros.;Sam Mercer;
2006;Lady in the Water;Warner Bros.;Jose L. Rodriguez;
2006;Lady in the Water;Warner Bros.;M. Night Shyamalan;
2006;Little Man;Columbia Pictures, Revolution Studios;Rick Alvares;
2006;Little Man;Columbia Pictures, Revolution Studios;Lee Mays;
2006;Little Man;Columbia Pictures, Revolution Studios;Marlon Wayans;
2006;Little Man;Columbia Pictures, Revolution Studios;Shawn Wayans;
2006;The Wicker Man;Warner Bros.;Nicolas Cage;
2006;The Wicker Man;Warner Bros.;Randall Emmett;
2006;The Wicker Man;Warner Bros.;Norm Golightly;
2006;The Wicker Man;Warner Bros.;Avi Lerner;
2006;The Wicker Man;Warner Bros.;Joanne Sellar;
2007;I Know Who Killed Me;TriStar Pictures;David Grace;
2007;I Know Who Killed Me;TriStar Pictures;Frank Mancuso Jr.;
2007;Bratz;Lionsgate;Avi Arad;
2007;Bratz;Lionsgate;Isaac Larian;
2007;Bratz;Lionsgate;Steven Paul;
2007;Daddy Day Camp;TriStar Pictures, Revolution Studios;Matt Berenson;
2007;Daddy Day Camp;TriStar Pictures, Revolution Studios;John Davis;
2007;Daddy Day Camp;TriStar Pictures, Revolution Studios;Wyck Godfrey;
2007;I Now Pronounce You Chuck & Larry;Universal Studios;Adam Sandler;
2007;I Now Pronounce You Chuck & Larry;Universal Studios;Tom Shadyac;
2007;Norbit;DreamWorks;John Davis;
2007;Norbit;DreamWorks;Eddie Murphy;
2007;Norbit;DreamWorks;Michael Tollin;
2008;The Love Guru;Paramount Pictures;Gary Barber;yes
2008;The Love Guru;Paramount Pictures;Michael DeLuca;yes
2008;The Love Guru;Paramount Pictures;Mike Myers;yes
2008;Disaster Movie and Meet the Spartans;Lionsgate, 20th Century Fox;Jason Friedberg;
2008;Disaster Movie and Meet the Spartans;Lionsgate, 20th Century Fox;Peter Safran;
2008;Disaster Movie and Meet the Spartans;Lionsgate, 20th Century Fox;Aaron Seltzer;
2008;The Happening;20th Century Fox;Barry Mendel;
2008;The Happening;20th Century Fox;Sam Mercer;
2008;The Happening;20th Century Fox;M. Night Shyamalan;
2008;The Hottie & the Nottie;Regent Releasing;Hadeel Reda;
2008;In the Name of the King;Boll KG, Brightlight Pictures;Uwe Boll;
2008;In the Name of the King;Boll KG, Brightlight Pictures;Dan Clarke;
2008;In the Name of the King;Boll KG, Brightlight Pictures;Wolfgang Herrold;
2008;In the Name of the King;Boll KG, Brightlight Pictures;Shawn Williamson;
2009;Transformers: Revenge of the Fallen;Paramount Pictures, DreamWorks, Hasbro;Lorenzo di Bonaventura;yes
2009;Transformers: Revenge of the Fallen;Paramount Pictures, DreamWorks, Hasbro;Ian Bryce;yes
2009;Transformers: Revenge of the Fallen;Paramount Pictures, DreamWorks, Hasbro;Tom DeSanto;yes
2009;Transformers: Revenge of the Fallen;Paramount Pictures, DreamWorks, Hasbro;Don Murphy;yes
2009;All About Steve;20th Century Fox;Sandra Bullock;
2009;All About Steve;20th Century Fox;Mary McLaglen;
2009;G.I. Joe: The Rise of Cobra;Paramount Pictures, Hasbro;Lorenzo di Bonaventura;
2009;G.I. Joe: The Rise of Cobra;Paramount Pictures, Hasbro;Bob Ducsay;
2009;G.I. Joe: The Rise of Cobra;Paramount Pictures, Hasbro;Brian Goldner;
2009;Land of the Lost;Universal Studios;Sid;
2009;Land of the Lost;Universal Studios;Marty Krofft;
2009;Land of the Lost;Universal Studios;Jimmy Miller;
2009;Old Dogs;Walt Disney Pictures;Peter Abrams;
2009;Old Dogs;Walt Disney Pictures;Robert Levy;
2009;Old Dogs;Walt Disney Pictures;Andrew Panay;
2010;The Last Airbender;Paramount Pictures, Nickelodeon Movies;Frank Marshall;yes
2010;The Last Airbender;Paramount Pictures, Nickelodeon Movies;Kathleen Kennedy;yes
2010;The Last Airbender;Paramount Pictures, Nickelodeon Movies;Sam Mercer;yes
2010;The Last Airbender;Paramount Pictures, Nickelodeon Movies;M. Night Shyamalan;yes
2010;The Bounty Hunter;Columbia Pictures;Neal H. Moritz;
2010;Sex and the City 2;New Line Cinema, HBO Films, Village Roadshow Pictures;Michael Patrick King;
2010;Sex and the City 2;New Line Cinema, HBO Films, Village Roadshow Pictures;John Melfi;
2010;Sex and the City 2;New Line Cinema, HBO Films, Village Roadshow Pictures;Sarah Jessica Parker;
2010;Sex and the City 2;New Line Cinema, HBO Films, Village Roadshow Pictures;Darren Star;
2010;The Twilight Saga: Eclipse;Summit Entertainment;Wyck Godfrey;
2010;The Twilight Saga: Eclipse;Summit Entertainment;Karen Rosenfelt;
2010;Vampires Suck;20th Century Fox;Jason Friedberg;
2010;Vampires Suck;20th Century Fox;Peter Safran;
2010;Vampires Suck;20th Century Fox;Aaron Seltzer;
2011;Jack and Jill;Columbia Pictures;Todd Garner;yes
2011;Jack and Jill;Columbia Pictures;Jack Giarraputo;yes
2011;Jack and Jill;Columbia Pictures;Adam Sandler;yes
2011;Bucky Larson: Born to Be a Star;Columbia Pictures;Barry Bernardi;
2011;Bucky Larson: Born to Be a Star;Columbia Pictures;Allen Covert;
2011;Bucky Larson: Born to Be a Star;Columbia Pictures;David Dorfman;
2011;Bucky Larson: Born to Be a Star;Columbia Pictures;Jack Giarraputo;
2011;New Year's Eve;Warner Bros., New Line Cinema;Mike Karz;
2011;New Year's Eve;Warner Bros., New Line Cinema;Garry Marshall;
2011;New Year's Eve;Warner Bros., New Line Cinema;Wayne Allan Rice;
2011;Transformers: Dark of the Moon;Paramount Pictures;Lorenzo di Bonaventura;
2011;Transformers: Dark of the Moon;Paramount Pictures;Ian Bryce;
2011;Transformers: Dark of the Moon;Paramount Pictures;Tom DeSanto;
2011;Transformers: Dark of the Moon;Paramount Pictures;Don Murphy;
2011;The Twilight Saga: Breaking Dawn – Part 1;Summit Entertainment;Wyck Godfrey;
2011;The Twilight Saga: Breaking Dawn – Part 1;Summit Entertainment;Stephenie Meyer;
2011;The Twilight Saga: Breaking Dawn – Part 1;Summit Entertainment;Karen Rosenfelt;
2012;The Twilight Saga: Breaking Dawn – Part 2;Summit Entertainment;Wyck Godfrey;yes
2012;The Twilight Saga: Breaking Dawn – Part 2;Summit Entertainment;Stephenie Meyer;yes
2012;The Twilight Saga: Breaking Dawn – Part 2;Summit Entertainment;Karen Rosenfelt;yes
2012;Battleship;Universal Studios;Sarah Aubrey;
2012;Battleship;Universal Studios;Peter Berg;
2012;Battleship;Universal Studios;Brian Goldner;
2012;Battleship;Universal Studios;Duncan Henderson;
2012;Battleship;Universal Studios;Bennett Schneir;
2012;Battleship;Universal Studios;Scott Stuber;
2012;The Oogieloves in the Big Balloon Adventure;Lionsgate Films, Romar Entertainment, Kenn Viselman Presents;Gayle Dickie;
2012;The Oogieloves in the Big Balloon Adventure;Lionsgate Films, Romar Entertainment, Kenn Viselman Presents;Kenn Viselman;
2012;That's My Boy;Columbia Pictures;Allen Covert;
2012;That's My Boy;Columbia Pictures;Jack Giarraputo;
2012;That's My Boy;Columbia Pictures;Heather Parry;
2012;That's My Boy;Columbia Pictures;Adam Sandler;
2012;A Thousand Words;Paramount Pictures, DreamWorks;Nicolas Cage;
2012;A Thousand Words;Paramount Pictures, DreamWorks;Alain Chabat;
2012;A Thousand Words;Paramount Pictures, DreamWorks;Stephanie Danan;
2012;A Thousand Words;Paramount Pictures, DreamWorks;Norman Golightly;
2012;A Thousand Words;Paramount Pictures, DreamWorks;Brian Robbinsand Sharla Sumpter Bridgett;
2013;Movie 43;Relativity Media;Peter Farrelly;yes
2013;Movie 43;Relativity Media;Ryan Kavanaugh;yes
2013;Movie 43;Relativity Media;John Penotti;yes
2013;Movie 43;Relativity Media;Charles B. Wessler;yes
2013;After Earth;Columbia Pictures;James Lassiter;
2013;After Earth;Columbia Pictures;Caleeb Pinkett;
2013;After Earth;Columbia Pictures;Jada Pinkett Smith;
2013;After Earth;Columbia Pictures;M. Night Shyamalan;
2013;After Earth;Columbia Pictures;Will Smith;
2013;After Earth;Columbia Pictures;Jaden Smith;
2013;Grown Ups 2;Columbia Pictures;Jack Giarraputo;
2013;Grown Ups 2;Columbia Pictures;Adam Sandler;
2013;The Lone Ranger;Walt Disney Pictures;Jerry Bruckheimer;
2013;The Lone Ranger;Walt Disney Pictures;Gore Verbinski;
2013;A Madea Christmas;Lionsgate;Ozzie Areu;
2013;A Madea Christmas;Lionsgate;Matt Moore;
2013;A Madea Christmas;Lionsgate;Tyler Perry;
2014;Saving Christmas;Samuel Goldwyn Films;Darren Doane;yes
2014;Saving Christmas;Samuel Goldwyn Films;Raphi Henley;yes
2014;Saving Christmas;Samuel Goldwyn Films;Amanda Rosser;yes
2014;Saving Christmas;Samuel Goldwyn Films;David Shannon;yes
2014;Left Behind;Freestyle Releasing, Entertainment One;Michael Walker;
2014;Left Behind;Freestyle Releasing, Entertainment One;Paul LaLonde;
2014;The Legend of Hercules;Summit Entertainment;Boaz Davidson;
2014;The Legend of Hercules;Summit Entertainment;Renny Harlin;
2014;The Legend of Hercules;Summit Entertainment;Danny Lerner;
2014;The Legend of Hercules;Summit Entertainment;Les Weldon;
2014;Teenage Mutant Ninja Turtles;Paramount Pictures, Nickelodeon Movies, Platinum Dunes;Michael Bay;
2014;Teenage Mutant Ninja Turtles;Paramount Pictures, Nickelodeon Movies, Platinum Dunes;Ian Bryce;
2014;Teenage Mutant Ninja Turtles;Paramount Pictures, Nickelodeon Movies, Platinum Dunes;Andrew Form;
2014;Teenage Mutant Ninja Turtles;Paramount Pictures, Nickelodeon Movies, Platinum Dunes;Bradley Fuller;
2014;Teenage Mutant Ninja Turtles;Paramount Pictures, Nickelodeon Movies, Platinum Dunes;Scott Mednick;
2014;Teenage Mutant Ninja Turtles;Paramount Pictures, Nickelodeon Movies, Platinum Dunes;Galen Walker;
2014;Transformers: Age of Extinction;Paramount Pictures;Ian Bryce;
2014;Transformers: Age of Extinction;Paramount Pictures;Tom DeSanto;
2014;Transformers: Age of Extinction;Paramount Pictures;Lorenzo di Bonaventura;
2014;Transformers: Age of Extinction;Paramount Pictures;Don Murphy;
2015;Fantastic Four;20th Century Fox;Simon Kinberg;yes
2015;Fantastic Four;20th Century Fox;Matthew Vaughn;yes
2015;Fantastic Four;20th Century Fox;Hutch Parker;yes
2015;Fantastic Four;20th Century Fox;Robert Kulzer;yes
2015;Fantastic Four;20th Century Fox;Gregory Goodman;yes
2015;Fifty Shades of Grey;Universal Pictures, Focus Features;Michael De Luca;yes
2015;Fifty Shades of Grey;Universal Pictures, Focus Features;Dana Brunetti;yes
2015;Fifty Shades of Grey;Universal Pictures, Focus Features;E. L. James;yes
2015;Jupiter Ascending;Warner Bros.;Grant Hill;
2015;Jupiter Ascending;Warner Bros.;The Wachowskis;
2015;Paul Blart: Mall Cop 2;Columbia Pictures;Todd Garner;
2015;Paul Blart: Mall Cop 2;Columbia Pictures;Kevin James;
2015;Paul Blart: Mall Cop 2;Columbia Pictures;Adam Sandler;
2015;Pixels;Columbia Pictures;Adam Sandler;
2015;Pixels;Columbia Pictures;Chris Columbus;
2015;Pixels;Columbia Pictures;Mark Radcliffe;
2015;Pixels;Columbia Pictures;Allen Covert;
2016;Hillary's America: The Secret History of the Democratic Party;Quality Flix;Gerald R. Molen;yes
2016;Batman v Superman: Dawn of Justice;Warner Bros.;Charles Roven;
2016;Batman v Superman: Dawn of Justice;Warner Bros.;Deborah Snyder;
2016;Dirty Grandpa;Lionsgate;Bill Block;
2016;Dirty Grandpa;Lionsgate;Michael Simkin;
2016;Dirty Grandpa;Lionsgate;Jason Barrett;
2016;Dirty Grandpa;Lionsgate;Barry Josephson;
2016;Gods of Egypt;Summit Entertainment;Basil Iwanyk;
2016;Gods of Egypt;Summit Entertainment;Alex Proyas;
2016;Independence Day: Resurgence;20th Century Fox;Dean Devlin;
2016;Independence Day: Resurgence;20th Century Fox;Harald Kloser;
2016;Independence Day: Resurgence;20th Century Fox;Roland Emmerich;
2016;Zoolander 2;Paramount Pictures;Stuart Cornfeld;
2016;Zoolander 2;Paramount Pictures;Scott Rudin;
2016;Zoolander 2;Paramount Pictures;Ben Stiller;
2016;Zoolander 2;Paramount Pictures;Clayton Townsend;
2017;The Emoji Movie;Columbia Pictures;Michelle Raimo Kouyate;yes
2017;Baywatch;Paramount Pictures;Ivan Reitman;
2017;Baywatch;Paramount Pictures;Michael Berk;
